id,target,max,mean,var,skew,kurtosis,contrast,dissimilarity,homogeneity,ASM,energy,correlation,SRE,LRE,GLU,RLU,RPC,lbp_bin0,lbp_bin1,lbp_bin2,lbp_bin3,lbp_bin4,lbp_bin5,lbp_bin6,lbp_bin7,lbp_bin8,lbp_bin9,lbp_bin10,lbp_bin11,lbp_bin12,lbp_bin13,lbp_bin14,lbp_bin15,lbp_bin16,lbp_bin17,lbp_bin18,lbp_bin19,lbp_bin20,lbp_bin21,lbp_bin22,lbp_bin23,lbp_bin24,lbp_bin25,lbp_bin26,lbp_bin27,lbp_bin28,lbp_bin29
061,0.0,47369.0,5484.3,107365262.5368421,3.520172547208877,11.821476794442141,330.9885478028612,6.427829204932127,0.5231778850682901,0.1790928402539504,0.42319362028975627,0.9812040562170311,1.504,1128.514,3666.688,11820.7,24.465,1051.0,0.0,0.0,2443.0,0.0,0.0,2870.0,0.0,0.0,0.0,10698.0,0.0,0.0,19718.0,0.0,0.0,12006.0,0.0,0.0,0.0,4679.0,0.0,0.0,2779.0,0.0,0.0,50071.0,0.0,0.0,3371.0
061,0.0,28278.0,2722.05,38246252.68157895,3.7794019178653895,13.168860527281279,363.91849090036544,6.058289342537561,0.5861013263668033,0.25553185795312827,0.5055015904555873,0.9751985964555123,1.559,1337.285,3277.717,5122.321,14.484,549.0,0.0,0.0,1140.0,0.0,0.0,1342.0,0.0,0.0,0.0,4382.0,0.0,0.0,8324.0,0.0,0.0,4935.0,0.0,0.0,0.0,2037.0,0.0,0.0,1104.0,0.0,0.0,29070.0,0.0,0.0,1558.0
061,0.0,2457.0,155.75,298217.5657894737,4.025672060585122,14.475677190038166,986.5370129870129,7.2987012987013,0.8633996319829937,0.6028817043346264,0.776454573258878,0.9432878531988887,1.478,988.914,2588.564,227.105,2.148,3.0,0.0,0.0,16.0,0.0,0.0,22.0,0.0,0.0,0.0,123.0,0.0,0.0,158.0,0.0,0.0,97.0,0.0,0.0,0.0,11.0,0.0,0.0,28.0,0.0,0.0,2643.0,0.0,0.0,14.0
061,0.0,1168.0,60.75,67944.72368421052,4.127259489050832,15.040953058688707,573.4866666666667,3.4433333333333334,0.9652480193056788,0.9105645833333333,0.9542350776057927,0.7978934299554415,0.853,2059.705,7670.954,110.967,0.7,2.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1169.0,0.0,0.0,2.0
061,0.0,21827.0,1145.4,23709674.463157892,4.125812463310859,15.03327846463495,213.06525371559235,1.5790167971154694,0.9697080153723847,0.9012756036963786,0.9493553621781354,0.953223369174768,1.31,15597.217,9157.423,343.459,2.129,6.0,0.0,0.0,18.0,0.0,0.0,38.0,0.0,0.0,0.0,169.0,0.0,0.0,312.0,0.0,0.0,185.0,0.0,0.0,0.0,5.0,0.0,0.0,56.0,0.0,0.0,22109.0,0.0,0.0,10.0
061,0.0,55676.0,7920.85,138998769.50263157,3.5555054669591466,11.939650553393344,153.28138489777834,6.522779922779923,0.4065252696899203,0.07485945855644499,0.27360456603727396,0.9897513651710943,1.691,953.201,3451.46,24472.789,36.168,1963.0,0.0,0.0,4977.0,0.0,0.0,5123.0,0.0,0.0,0.0,18516.0,0.0,0.0,37955.0,0.0,0.0,20245.0,0.0,0.0,0.0,7842.0,0.0,0.0,5053.0,0.0,0.0,50138.0,0.0,0.0,6605.0
061,0.0,541.0,40.6,14712.989473684207,3.783461759104125,13.068578504744398,1865.7959183673468,12.102040816326532,0.7735086590215281,0.4122745080174927,0.6420860596660644,0.9214858778203304,1.096,251.509,235.274,79.1,2.621,2.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,51.0,0.0,0.0,87.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,608.0,0.0,0.0,3.0
061,0.0,490.0,36.25,12063.355263157895,3.7993293096653233,13.158311384851697,2182.9425287356325,14.17816091954023,0.7714867427795885,0.4163054069229754,0.6452173330924824,0.906195721663833,1.23,237.574,252.608,77.479,2.466,1.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,48.0,0.0,0.0,78.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,549.0,0.0,0.0,3.0
061,0.0,61443.0,5244.8,177347459.22105265,4.03967771819341,14.575156352124473,225.49315120906022,4.677877257422711,0.6370247320274713,0.32609177850243404,0.5710444628069115,0.9825873802783858,1.608,2464.205,4367.993,10048.924,19.459,925.0,0.0,0.0,2078.0,0.0,0.0,2576.0,0.0,0.0,0.0,7411.0,0.0,0.0,13928.0,0.0,0.0,7845.0,0.0,0.0,0.0,3494.0,0.0,0.0,1894.0,0.0,0.0,62208.0,0.0,0.0,2537.0
061,0.0,475.0,35.1,11187.042105263157,3.8626120551224803,13.587537566175161,2318.8207407407413,13.872592592592593,0.7493578366187037,0.4113832647462277,0.6413916625169271,0.8973841474317085,1.037,216.278,204.97,74.829,2.616,4.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,53.0,0.0,0.0,62.0,0.0,0.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,514.0,0.0,0.0,10.0
